"id","Nama","Age","Balanced","No 2b Thread-No","No 3 Thread-No","Previous Balanced","Average Balanced","No 1 Thread-No","Free Transfer","No 2a Thread-No"
"85","Jaxson","44","111.0","","","158","129.5","","5",""
"86","Leonardo","35","132.0","","","104","113.0","","5",""
"87","Nicholas","53","193.0","","","62","110.0","","3",""
"88","Dominic","50","123.0","","","66","89.5","","5",""
"89","Austin","21","130.0","","","96","108.0","","5",""
"90","Everett","51","105.0","","","190","142.5","","2",""
"91","Brooks","20","193.0","","","103","130.5","","0",""
"92","Xavier","20","136.0","","","103","114.5","","5",""
"93","Kai","39","222.0","","","64","125.5","","0",""
"94","Jose","38","139.0","","","148","138.5","","5",""
"95","Parker","39","154.0","","","154","149.0","","5",""
"96","Adam","39","142.0","","","59","95.5","","5",""
"97","Jace","28","212.0","","","160","168.5","","3",""
"98","Wesley","44","147.0","","","70","103.5","","5",""
"99","Kayden","29","96.0","","","50","68.0","","1",""
"100","Silas","30","133.0","","","86","104.5","","5",""
"101","Bennett","50","50","","","178","114.0","","3",""
"102","Declan","24","53","","","134","93.5","","4",""
"103","Waylon","37","99","","","84","91.5","","4",""
"104","Weston","47","51","","","148","99.5","","3",""
"105","Evan","29","207.0","","","199","190.5","","1",""
"106","Emmett","23","71","","","191","131.0","","2",""
"107","Micah","50","224.0","","","51","125.0","","0",""
"108","Ryder","46","89","","","167","128.0","","2",""
"109","Beau","31","77","","","52","64.5","","2",""
"110","Damian","28","64","","","177","120.5","","1",""
"111","Brayden","26","214.0","","","173","181.0","","3",""
"112","Gael","45","140","","","119","129.5","","5",""
"113","Rowan","52","121","","","159","140.0","","5",""
"114","Harrison","39","197.0","","","136","154.0","","4",""
"115","Bryson","49","50","","","177","113.5","","4",""
"116","Sawyer","47","127","","","93","110.0","","5",""
"117","Amir","25","85","","","59","72.0","","0",""
"118","Kingston","42","50","","","167","108.5","","3",""
"119","Jason","35","88","","","51","69.5","","3",""
"120","Giovanni","39","105","","","111","108.0","","5",""
"121","Vincent","25","135","","","51","93.0","","5",""
"122","Ayden","39","122","","","168","145.0","","5",""
"123","Chase","48","135","","","153","144.0","","5",""
"124","Myles","40","138","","","80","109.0","","5",""
"125","Diego","24","117","","","64","90.5","","5",""
"126","Nathaniel","42","137","","","197","167.0","","5",""
"127","Legend","21","96","","","103","99.5","","2",""
"128","Jonah","51","97","","","95","96.0","","4",""
"129","River","52","201.0","","","159","167.5","","3",""
"130","Tyler","20","66","","","142","104.0","","3",""
"131","Cole","29","55","","","165","110.0","","4",""
"132","Braxton","23","185.0","","","80","120.0","","4",""
"133","George","39","123","","","65","94.0","","5",""
"134","Milo","29","206.0","","","198","189.5","","1",""
"135","Zachary","29","78","","","78","78.0","","0",""
"136","Ashton","23","59","","","61","60.0","","4",""
"137","Luis","53","134","","","74","104.0","","5",""
"138","Jasper","50","102","","","122","112.0","","5",""
"139","Kaiden","23","210.0","","","165","175.0","","0",""
"140","Adriel","28","104","","","53","78.5","","5",""
"141","Gavin","26","204.0","","","117","148.0","","3",""
"142","Bentley","49","134","","","195","164.5","","5",""
"143","Calvin","42","145","","","200","172.5","","5",""
"144","Zion","48","67","","","57","62.0","","4",""
"145","Juan","45","129","","","115","122.0","","5",""
"146","Maxwell","34","58","","","189","123.5","","1",""
"147","Max","30","180.0","","","156","155.5","","3",""
"148","Ryker","29","137","","","104","120.5","","5",""
"149","Carlos","22","112","","","179","145.5","","5",""
"150","Emmanuel","43","110","","","119","114.5","","5",""
"151","Jayce","44","90","","","126","108.0","","3",""
"152","Lorenzo","47","137","","","105","121.0","","5",""
"153","Ivan","42","70","","","139","104.5","","1",""
"154","Jude","49","66","","","121","93.5","","0",""
"155","August","27","147","","","76","111.5","","5",""
"156","Kevin","40","131","","","110","120.5","","5",""
"157","Malachi","20","86","","","69","77.5","","4",""
"158","Elliott","39","206.0","","","147","164.0","","2",""
"159","Rhett","45","200.0","","","156","165.5","","1",""
"160","Archer","24","202.0","","","69","123.0","","4",""
"161","Karter","42","113","","","52","82.5","","5",""
"162","Arthur","40","186.0","","","82","121.5","","4",""
"163","Luka","20","119","","","73","96.0","","5",""
"164","Elliot","24","139","","","58","98.5","","5",""
"165","Thiago","23","78","","","68","73.0","","4",""
"166","Brandon","27","116","","","120","118.0","","5",""
"167","Camden","45","139","","","148","143.5","","5",""
"168","Justin","22","109","","","98","103.5","","5",""
"169","Jesus","25","225.0","","","94","147.0","","1",""
"170","Maddox","27","128","","","148","138.0","","5",""
"171","King","32","99","","","183","141.0","","2",""
"172","Theo","28","52","","","84","68.0","","1",""
"173","Enzo","39","132","","","60","96.0","","5",""
"174","Matteo","30","58","","","192","125.0","","4",""
"175","Emiliano","51","202.0","","","144","160.5","","4",""
"176","Dean","45","202.0","","","191","184.0","","0",""
"177","Hayden","39","118","","","195","156.5","","5",""
"178","Finn","34","122","","","79","100.5","","5",""
"179","Brody","52","59","","","190","124.5","","4",""
"180","Antonio","32","179.0","","","62","108.0","","1",""
"181","Abel","40","148","","","188","168.0","","5",""
"182","Alex","34","76","","","67","71.5","","2",""
"183","Tristan","30","131","","","119","125.0","","5",""
"184","Graham","51","93","","","61","77.0","","1",""
"185","Zayden","31","91","","","102","96.5","","4",""
"186","Judah","27","137","","","113","125.0","","5",""
"187","Xander","44","65","","","159","112.0","","4",""
"188","Miguel","35","177.0","","","112","132.0","","0",""
"189","Atlas","48","145","","","144","144.5","","5",""
"190","Messiah","27","67","","","66","66.5","","2",""
"191","Barrett","21","88","","","144","116.0","","3",""
"192","Tucker","25","204.0","","","185","182.0","","3",""
"193","Timothy","32","132","","","63","97.5","","5",""
"194","Alan","40","97","","","51","74.0","","4",""
"195","Edward","45","137","","","104","120.5","","5",""
"196","Leon","53","65","","","197","131.0","","1",""
"197","Dawson","24","107","","","151","129.0","","5",""
"198","Eric","47","130","","","73","101.5","","5",""
"199","Ace","32","192.0","","","101","134.0","","3",""
"200","Victor","53","60","","","148","104.0","","2",""
